year,Name,Title,ActorId,ActorId,MovieId,Country,genre
2013,50 Cent,Escape Plan,629,629,698,America,#N/A
2009,Aamir Khan,3 Idiots,646,646,183,America,Comedy
2011,Aaron Eckhart,Battle Los Angeles,847,847,294,America,#N/A
2013,Aaron Eckhart,Olympus Has Fallen,847,847,207,Asia,#N/A
2016,Aaron Eckhart,Sully,847,847,5,America,Biography
2005,Aaron Eckhart,Thank You for Smoking,847,847,812,Other countries,Comedy
2008,Aaron Eckhart,The Dark Knight,847,847,498,America,Drama
2004,Aaron Ruell,Napoleon Dynamite,465,465,881,Asia,Comedy
2014,Aaron Taylor-Johnson,Godzilla 2,1807,1807,480,Other countries,#N/A
2010,Aaron Taylor-Johnson,Kick-Ass,1807,1807,162,America,Comedy
#N/A,Aaron Taylor-Johnson,Kick-Ass 2,1807,1807,323,#N/A,Comedy
2016,Aaron Taylor-Johnson,Nocturnal Animals,1807,1807,92,America,Drama
#N/A,Aaron Yoo,21,1149,1149,3,#N/A,Drama
2013,Aasif Mandvi,The Internship,913,913,862,Asia,Comedy
2011,Abbie Cornish,Limitless,1236,1236,122,Asia,Sci-Fi
2014,Abbie Cornish,RoboCop 2,1236,1236,626,America,#N/A
2011,Abbie Cornish,Sucker Punch,1236,1236,869,America,#N/A
2013,Abigail Breslin,Ender's Game,182,182,418,Other countries,#N/A
2006,Abigail Breslin,Little Miss Sunshine,182,182,764,America,Comedy
2011,Abigail Breslin,Rango,182,182,187,America,Comedy
2002,Abigail Breslin,Signs,182,182,518,Europe,Drama
2009,Abigail Breslin,Zombieland,182,182,171,America,Comedy
2011,Abigail Spencer,Cowboys & Aliens,187,187,54,America,Sci-Fi
1987,Adam Baldwin,Full Metal Jacket,870,870,216,America,Drama
2005,Adam Brody,Mr. & Mrs. Smith,736,736,131,Asia,Comedy
2003,Adam Goldberg,How to Lose a Guy in 10 Days,1631,1631,799,America,Romance
2003,Adam Pascal,The School of Rock,284,284,609,Other countries,Music
2004,Adam Sandler,50 First Dates,402,402,82,America,Romance
2003,Adam Sandler,Anger Management,402,402,893,America,Comedy
1999,Adam Sandler,Big Daddy,402,402,935,America,Comedy
#N/A,Adam Sandler,Click,402,402,734,#N/A,Comedy
2010,Adam Sandler,Grown Ups,402,402,360,Other countries,Comedy
1996,Adam Sandler,Happy Gilmore,402,402,568,Asia,Comedy
2012,Adam Sandler,Hotel Transylvania,402,402,908,Other countries,Comedy
2011,Adam Sandler,Just Go with It,402,402,161,America,Romance
2008,Adam Sandler,You Don't Mess with the Zohan,402,402,955,Other countries,Comedy
2013,Adelaide Kane,The Purge,66,66,30,America,#N/A
2009,Adewale Akinnuoye-Agbaje,G.I. Joe: The Rise of Cobra,1252,1252,711,America,#N/A
2012,Adil Hussain,Life of Pi,1796,1796,104,Asia,Drama
2006,Adrian Grenier,The Devil Wears Prada,178,178,425,America,Comedy
#N/A,Adrian Martinez,Focus,1808,1808,816,#N/A,Comedy
1937,Adriana Caselotti,Snow White and the Seven Dwarfs,683,683,332,America,Animation
2013,Adrianne Palicki,G.I. Joe: Retaliation,1131,1131,828,America,#N/A
2005,Adrien Brody,King Kong,1668,1668,643,America,Drama
2010,Adrien Brody,Predators,1668,1668,208,America,#N/A
2007,Adrien Brody,The Darjeeling Limited,1668,1668,883,America,Comedy
2014,Adrien Brody,The Grand Budapest Hotel,1668,1668,487,America,Comedy
2002,Adrien Brody,The Pianist,1668,1668,898,Asia,Music
#N/A,Agnes Moorehead,Citizen Kane,1640,1640,437,#N/A,Drama
2008,Ahney Her,Gran Torino,1492,1492,616,America,Drama
2011,Aidan Quinn,Unknown,1604,1604,387,Other countries,#N/A
2004,Aitana Sánchez-Gijón,The Machinist,1750,1750,926,Other countries,Drama
2011,AJ Michalka,Super 8,516,516,633,America,#N/A
1999,Ajay Naidu,Office Space,1484,1484,11,America,Comedy
1988,Akemi Yamaguchi,Hotaru no haka,658,658,591,America,Drama
#N/A,Akihiro Miwa,Hauru no ugoku shiro,1497,1497,213,#N/A,Animation
1936,Al Ernest Garcia,Modern Times,1380,1380,89,Other countries,Comedy
1993,Al Pacino,Carlito's Way,835,835,241,Other countries,Drama
1975,Al Pacino,Dog Day Afternoon,835,835,928,America,Biography
1997,Al Pacino,Donnie Brasco,835,835,49,America,Biography
1995,Al Pacino,Heat,835,835,489,Asia,Drama
#N/A,Al Pacino,Insomnia,835,835,330,#N/A,Drama
1983,Al Pacino,Scarface,835,835,141,America,Drama
1992,Al Pacino,Scent of a Woman,835,835,666,America,Drama
1997,Al Pacino,The Devil's Advocate,835,835,344,America,Drama
1972,Al Pacino,The Godfather,835,835,413,Asia,Drama
1974,Al Pacino,The Godfather: Part II,835,835,493,Asia,Drama
1990,Al Pacino,The Godfather: Part III,835,835,945,Other countries,Drama
2001,Alakina Mann,The Others,1254,1254,399,America,#N/A
#N/A,Alan Alda,Bridge of Spies,442,442,32,#N/A,Drama
2000,Alan Alda,What Women Want,442,442,722,America,Romance
2012,Alan Arkin,Argo,401,401,110,Other countries,Biography
2008,Alan Arkin,Get Smart,401,401,130,America,Comedy
1988,Alan Rickman,Die Hard,616,616,455,Other countries,#N/A
2006,Alan Rickman,Perfume: The Story of a Murderer,616,616,78,Other countries,Drama
2007,Alan Rickman,Sweeney Todd: The Demon Barber of Fleet Street,616,616,811,America,Drama
1986,Alan Ruck,Ferris Bueller's Day Off,782,782,24,Asia,Comedy
#N/A,Alan Tudyk,"I, Robot",1408,1408,525,#N/A,Drama
