year,ActorId,Name,MovieId,Title,genre,Country,gross
2013,629,50 Cent,698,Escape Plan,#N/A,America,86.75
2009,646,Aamir Khan,183,3 Idiots,Comedy,America,62
2011,847,Aaron Eckhart,294,Battle Los Angeles,#N/A,America,114.25
2013,847,Aaron Eckhart,207,Olympus Has Fallen,#N/A,Asia,34
2016,847,Aaron Eckhart,5,Sully,Biography,America,195.75
2005,847,Aaron Eckhart,812,Thank You for Smoking,Comedy,Other countries,169
2008,847,Aaron Eckhart,498,The Dark Knight,Drama,America,24.25
2004,465,Aaron Ruell,881,Napoleon Dynamite,Comedy,Asia,10.75
2014,1807,Aaron Taylor-Johnson,480,Godzilla 2,#N/A,Other countries,167
2010,1807,Aaron Taylor-Johnson,162,Kick-Ass,Comedy,America,128.5
#N/A,1807,Aaron Taylor-Johnson,323,Kick-Ass 2,Comedy,#N/A,#N/A
2016,1807,Aaron Taylor-Johnson,92,Nocturnal Animals,Drama,America,35.75
#N/A,1149,Aaron Yoo,3,21,Drama,#N/A,#N/A
2013,913,Aasif Mandvi,862,The Internship,Comedy,Asia,31.25
2011,1236,Abbie Cornish,122,Limitless,Sci-Fi,Asia,22
2014,1236,Abbie Cornish,626,RoboCop 2,#N/A,America,243.25
2011,1236,Abbie Cornish,869,Sucker Punch,#N/A,America,100.75
2013,182,Abigail Breslin,418,Ender's Game,#N/A,Other countries,113.5
2006,182,Abigail Breslin,764,Little Miss Sunshine,Comedy,America,93.75
2011,182,Abigail Breslin,187,Rango,Comedy,America,68
2002,182,Abigail Breslin,518,Signs,Drama,Europe,10.5
2009,182,Abigail Breslin,171,Zombieland,Comedy,America,85.75
2011,187,Abigail Spencer,54,Cowboys & Aliens,Sci-Fi,America,50
1987,870,Adam Baldwin,216,Full Metal Jacket,Drama,America,99
2005,736,Adam Brody,131,Mr. & Mrs. Smith,Comedy,Asia,80.5
2003,1631,Adam Goldberg,799,How to Lose a Guy in 10 Days,Romance,America,114.75
2003,284,Adam Pascal,609,The School of Rock,Music,Other countries,82
2004,402,Adam Sandler,82,50 First Dates,Romance,America,127.25
2003,402,Adam Sandler,893,Anger Management,Comedy,America,55.25
1999,402,Adam Sandler,935,Big Daddy,Comedy,America,146.5
#N/A,402,Adam Sandler,734,Click,Comedy,#N/A,#N/A
2010,402,Adam Sandler,360,Grown Ups,Comedy,Other countries,114.75
1996,402,Adam Sandler,568,Happy Gilmore,Comedy,Asia,29.75
2012,402,Adam Sandler,908,Hotel Transylvania,Comedy,Other countries,113.25
2011,402,Adam Sandler,161,Just Go with It,Romance,America,68
2008,402,Adam Sandler,955,You Don't Mess with the Zohan,Comedy,Other countries,97.25
2013,66,Adelaide Kane,30,The Purge,#N/A,America,37.5
2009,1252,Adewale Akinnuoye-Agbaje,711,G.I. Joe: The Rise of Cobra,#N/A,America,173.5
2012,1796,Adil Hussain,104,Life of Pi,Drama,Asia,7
2006,178,Adrian Grenier,425,The Devil Wears Prada,Comedy,America,61.5
#N/A,1808,Adrian Martinez,816,Focus,Comedy,#N/A,#N/A
1937,683,Adriana Caselotti,332,Snow White and the Seven Dwarfs,Animation,America,111.5
2013,1131,Adrianne Palicki,828,G.I. Joe: Retaliation,#N/A,America,159.5
2005,1668,Adrien Brody,643,King Kong,Drama,America,90.5
2010,1668,Adrien Brody,208,Predators,#N/A,America,189.75
2007,1668,Adrien Brody,883,The Darjeeling Limited,Comedy,America,100
2014,1668,Adrien Brody,487,The Grand Budapest Hotel,Comedy,America,69
2002,1668,Adrien Brody,898,The Pianist,Music,Asia,43.5
#N/A,1640,Agnes Moorehead,437,Citizen Kane,Drama,#N/A,#N/A
2008,1492,Ahney Her,616,Gran Torino,Drama,America,99
2011,1604,Aidan Quinn,387,Unknown,#N/A,Other countries,49.25
2004,1750,Aitana Sánchez-Gijón,926,The Machinist,Drama,Other countries,107
2011,516,AJ Michalka,633,Super 8,#N/A,America,139.25
1999,1484,Ajay Naidu,11,Office Space,Comedy,America,18.5
1988,658,Akemi Yamaguchi,591,Hotaru no haka,Drama,America,112.5
#N/A,1497,Akihiro Miwa,213,Hauru no ugoku shiro,Animation,#N/A,#N/A
1936,1380,Al Ernest Garcia,89,Modern Times,Comedy,Other countries,82.5
1993,835,Al Pacino,241,Carlito's Way,Drama,Other countries,33.75
1975,835,Al Pacino,928,Dog Day Afternoon,Biography,America,144
1997,835,Al Pacino,49,Donnie Brasco,Biography,America,147
1995,835,Al Pacino,489,Heat,Drama,Asia,61.25
#N/A,835,Al Pacino,330,Insomnia,Drama,#N/A,#N/A
1983,835,Al Pacino,141,Scarface,Drama,America,104
1992,835,Al Pacino,666,Scent of a Woman,Drama,America,79.5
1997,835,Al Pacino,344,The Devil's Advocate,Drama,America,76.75
1972,835,Al Pacino,413,The Godfather,Drama,Asia,33
1974,835,Al Pacino,493,The Godfather: Part II,Drama,Asia,54.25
1990,835,Al Pacino,945,The Godfather: Part III,Drama,Other countries,189
2001,1254,Alakina Mann,399,The Others,#N/A,America,60
#N/A,442,Alan Alda,32,Bridge of Spies,Drama,#N/A,#N/A
2000,442,Alan Alda,722,What Women Want,Romance,America,113.75
2012,401,Alan Arkin,110,Argo,Biography,Other countries,78.25
2008,401,Alan Arkin,130,Get Smart,Comedy,America,92.5
1988,616,Alan Rickman,455,Die Hard,#N/A,Other countries,163
2006,616,Alan Rickman,78,Perfume: The Story of a Murderer,Drama,Other countries,251.25
2007,616,Alan Rickman,811,Sweeney Todd: The Demon Barber of Fleet Street,Drama,America,142.5
1986,782,Alan Ruck,24,Ferris Bueller's Day Off,Comedy,Asia,14.25
#N/A,1408,Alan Tudyk,525,"I, Robot",Drama,#N/A,#N/A
2016,1408,Alan Tudyk,459,Rogue One,#N/A,America,87.5
2005,1408,Alan Tudyk,197,Serenity,#N/A,America,170.75
2011,1467,Albert Brooks,346,Drive,Drama,Asia,30.5
2016,1467,Albert Brooks,457,Finding Dory,Comedy,Other countries,164.75
2003,1467,Albert Brooks,120,Finding Nemo,Comedy,America,176.25
1976,1467,Albert Brooks,60,Taxi Driver,Drama,Asia,16
2003,502,Albert Finney,594,Big Fish,Drama,America,54.5
1966,1512,Aldo Giuffrè,562,"Il buono, il brutto, il cattivo",#N/A,America,40
#N/A,1286,Alec Baldwin,897,Beetlejuice,Comedy,#N/A,#N/A
2013,1286,Alec Baldwin,145,Blue Jasmine,Drama,America,32
1990,1286,Alec Baldwin,610,The Hunt for Red October,#N/A,Asia,25.75
1962,1373,Alec Guinness,52,Lawrence of Arabia,Biography,America,97.5
#N/A,1373,Alec Guinness,836,Star Wars,#N/A,#N/A,#N/A
1957,1373,Alec Guinness,291,The Bridge on the River Kwai,Drama,Other countries,54.25
#N/A,1207,Alessandro Gassman,486,Transporter 2,#N/A,#N/A,#N/A
1997,1474,Alessandro Nivola,671,Face/Off,#N/A,Other countries,92
2001,1474,Alessandro Nivola,678,Jurassic Park III,#N/A,America,142.75
2002,308,Alex Palmer,685,28 Days Later...,Drama,America,80.75
2011,575,Alex Pettyfer,650,I Am Number Four,#N/A,America,82.5
2016,1619,Alex R. Hibbert,857,Moonlight,Drama,Other countries,102
#N/A,288,Alex Reid,321,The Descent,#N/A,#N/A,#N/A
2012,1531,Alex Russell,439,Chronicle,Drama,America,216.25
2003,611,Alexander Gould,120,Finding Nemo,Comedy,America,176.25
2012,302,Alexander Skarsgård,988,Battleship,#N/A,Other countries,117
2015,1684,Alexandra Daddario,313,San Andreas,Drama,Asia,54.25
2004,1707,Alexandra Maria Lara,426,Der Untergang,Biography,America,97.25
2013,1707,Alexandra Maria Lara,114,Rush,Biography,Other countries,21.5
2002,1084,Alexandre Rodrigues,467,Cidade de Deus,Drama,America,170.75
2014,1601,Alfie Allen,516,John Wick,#N/A,Asia,48.5
2001,1416,Alfre Woodard,181,K-PAX,Drama,Asia,28.75
2000,710,Alfred Molina,746,Chocolat,Romance,Asia,8.25
2010,710,Alfred Molina,991,Prince of Persia: The Sands of Time,#N/A,America,43
2004,710,Alfred Molina,96,Spider-Man 2,Sci-Fi,America,6.75
